ymd,low,high,tianqi,fengxiang,fengli,aqi,aqiLevel,aqiInfo
2011/1/1,2,6,多云~雨夹雪,北风,4-5级,,,
2011/1/2,2,6,多云,北风,4-5级,,,
2011/1/3,2,7,多云~阴,东北风,3-4级,,,
2011/1/4,1,6,小雨,北风,4-5级,,,
2011/1/5,0,5,阴~多云,北风,4-5级,,,
2011/1/6,0,6,多云,北风,3-4级,,,
2011/1/7,2,7,多云,北风,4-5级,,,
2011/1/8,4,7,多云~阴,东北风,3-4级,,,
2011/1/9,0,7,阴~多云,北风,3-4级,,,
2011/1/10,0,5,多云~阴,东北风~东风,4-5级~3-4级,,,
2011/1/11,2,6,多云,东风,3-4级,,,
2011/1/12,3,7,多云~阴,东北风,3-4级,,,
2011/1/13,0,6,阴~多云,东北风,4-5级,,,
2011/1/14,-2,5,多云,北风,4-5级,,,
2011/1/15,-1,3,多云,北风~东北风,4-5级,,,
2011/1/16,0,4,多云~阴,东北风,4-5级~3-4级,,,
2011/1/26,2,7,阴,东北风,3-4级,,,
2011/1/29,-2,4,晴~多云,北风,4-5级,,,
2011/1/30,-3,4,多云~晴,西北风,4-5级~3-4级,,,
2011/1/31,-2,7,晴,西北风,微风~3-4级,,,
2011/2/1,1,9,多云,西南风,3-4级,,,
2011/2/2,2,11,晴,西南风,微风,,,
2011/2/3,3,13,晴~多云,南风,微风~3-4级,,,
2011/2/4,4,14,晴,南风~北风,3-4级,,,
2011/2/5,5,15,晴~多云,北风~东南风,3-4级,,,
2011/2/6,5,16,多云~晴,南风~北风,3-4级,,,
2011/2/7,10,15,多云~阴,东风~东南风,3-4级,,,
2011/2/8,6,19,多云,东北风,3-4级,,,
2011/2/9,4,9,阴~小雨,北风,4-5级,,,
2011/2/10,1,5,小雨~雨夹雪,东北风,4-5级,,,
2011/2/11,-1,6,多云,北风,4-5级,,,
2011/2/12,0,5,多云~阴,北风~东北风,4-5级~3-4级,,,
2011/2/13,0,4,阴,东北风,3-4级,,,
2011/2/14,-1,4,多云,北风,4-5级~3-4级,,,
2011/2/15,3,6,晴~多云,东北风~东风,3-4级,,,
2011/2/16,5,9,小雨,东南风~东北风,3-4级,,,
2011/2/17,3,5,阴~多云,东北风,4-5级,,,
2011/2/18,2,6,多云~阴,北风~东北风,4-5级~3-4级,,,
2011/2/19,3,8,阴~多云,北风~东北风,3-4级,,,
2011/2/20,2,11,多云~晴,东北风,3-4级,,,
2011/2/21,5,12,晴,北风~东北风,3-4级,,,
2011/2/22,7,13,晴~多云,东风~东南风,3-4级,,,
2011/2/23,8,16,晴,东南风,3-4级,,,
2011/2/24,9,18,晴~多云,东南风~东风,3-4级,,,
2011/2/25,9,13,多云~阴,东北风~东南风,4-5级,,,
2011/2/26,11,15,小雨~阴,东南风,3-4级~4-5级,,,
2011/2/27,7,20,多云~阵雨,西北风~北风,3-4级~4-5级,,,
2011/2/28,4,7,小雨,北风,4-5级,,,
2011/3/1,0,6,阴~多云,北风,4-5级~3-4级,,,
2011/3/2,1,8,晴,北风,3-4级,,,
2011/3/3,1,9,阴~多云,北风,3-4级,,,
2011/3/4,4,9,晴~多云,东北风~东南风,3-4级,,,
2011/3/5,7,13,多云~小雨,东南风~南风,4-5级~3-4级,,,
2011/3/6,4,10,小雨~阴,北风,3-4级~4-5级,,,
2011/3/7,2,10,晴,北风,3-4级,,,
2011/3/8,5,15,晴~多云,西南风,3-4级,,,
2011/3/9,3,14,多云,北风,4-5级~3-4级,,,
2011/3/10,6,13,晴~多云,东南风,3-4级,,,
2011/3/11,9,17,晴~多云,南风,3-4级~4-5级,,,
2011/3/12,10,17,多云,南风~东南风,4-5级,,,
2011/3/13,8,18,多云~阵雨,东南风,4-5级~3-4级,,,
2011/3/14,4,14,小雨,北风,4-5级,,,
2011/3/15,2,9,阴~多云,北风,4-5级,,,
2011/3/16,4,12,多云~晴,西北风~东北风,3-4级,,,
2011/3/17,6,16,晴~多云,东南风~南风,3-4级~4-5级,,,
2011/3/18,9,15,阴,东南风~南风,4-5级~3-4级,,,
2011/3/19,12,16,阵雨,南风,4-5级,,,
2011/3/20,7,16,阵雨~中雨,东北风,4-5级,,,
