kw,counts,percentage
烂片,94,0.07014925373134329
剧情,80,0.05970149253731343
不错,78,0.058208955223880594
真的,59,0.04402985074626865
一星,57,0.04253731343283582
刘诗,56,0.041791044776119404
导演,54,0.04029850746268657
最后,53,0.03955223880597015
演技,53,0.03955223880597015
故事,51,0.03805970149253731
胡夏,49,0.03656716417910448
自己,49,0.03656716417910448
感觉,43,0.03208955223880597
感动,41,0.030597014925373135
清新,41,0.030597014925373135
搞笑,39,0.029104477611940297
有点,38,0.028358208955223882
童话,38,0.028358208955223882
虽然,36,0.026865671641791045
喜欢,36,0.026865671641791045
北漂,34,0.025373134328358207
台词,32,0.023880597014925373
完全,31,0.023134328358208955
好看,31,0.023134328358208955
为了,31,0.023134328358208955
看到,28,0.020895522388059702
应该,28,0.020895522388059702
伤心,27,0.020149253731343283
演员,27,0.020149253731343283
居然,26,0.019402985074626865
