news_body,news_source,news_thread,news_time,news_title,news_url,source_url
"
                    （原标题：300万人零点看《复联4》，保洁大妈陪到早上6点半）
                ,4月24日00:00，万众瞩目的《复联4》放映密钥开始生效。这时，全国影院里有多少人在熬夜看这部好莱坞大片？将近300万。,《复联4》零点场的观众人数和票房，都创下中国影史新纪录。,从事影院管理25年的刘敏建告诉钱报记者，《复联4》是他从业以来遇到的最疯狂的一次零点场，从来没那么多观众大半夜来看电影。他管理的”金象影城”有11个厅，11个厅全部开放零点场：“让想看的人都有好位置坐，大家才看得开心。”,同时他也表示，今年三月、四月全国影院的生意都不好，很多影院一天只有一两千块收入，连水电费都付不出。《复联4》终于来救市了。,浙江最大的影院，萧山德纳影城开了快20个厅放《复联4》零点场。,“德纳”总经理王琨表示，影院管理层当晚全部在影院值班，为的是减轻普通员工工作压力：“我们要求场务都要一起帮忙散场后搞卫生，保洁大妈忙不过来的。”,据悉，杭州不少影院在零点场后再放一场，因为《复联4》片长181分钟，两场放完基本上就是4月24日早上6点半了。,也就是说，早上6点半，就在普通人起床刷牙洗脸，吃完饭，准备上班、上学的时候，有一大帮人正看完《复联4》，兴奋地从影院里出来，满怀一颗想向全世界剧透，但又怕挨骂的矛盾的心。,为什么《复联4》激起影迷这么大热情？个中原因是“情怀”。,作为漫威宇宙第一阶段的收官之作，大家关心的是哪几个超级英雄真的死了，还剩下哪几个，最终又是怎么打败灭霸的？,“中国影迷这次是怀着自豪的心去看《复联4》的，因为中国观众是全球最早一批正式公映的观众，比北美还早两天。”一位《复联4》零点场的漫威迷告诉钱报记者。,“我准备断网，从今天开始，在我看《复联4》之前，尽量少上网，怕剧透啊！”另一位没时间看《复联4》零点场的漫威迷表示。,而对于《复联4》涨价的事，在引起有关部门注意之后，杭州之前零点场卖最高价295元的那家影院，已经将价格调到了125元，而且没满场。,目前最贵的是杭州两家cgv影院，零点场289元，不过也未满座。,倒是卖188元、158元、148元的几家影院，imax的零点场全部满座。,
",钱江晚报,EDGSFV0F0001875P,"
            2019-04-24 07:22:15",300万人零点看《复联4》 保洁大妈陪到早上6点半,https://news.163.com/19/0424/07/EDGSFV0F0001875P.html,https://www.thehour.cn/news/261976.html
"
	,
	,
						,
						,
					,近日有网友爆料：我们从Jingyao那里获得完整视频和发布的授权，从中可以证明，Jingyao在起诉书中所言是完全真实的。视频下面有时间，可以看出整个饭局三个小时jingyao都是坐在刘强东旁边，最后几分钟起身，后来原座位已经有人了，她坐到了其他座位。“明州事记”发布的视频有误导公众之嫌。,
",三日寸光,EDFH1BLD0001875P,"
            2019-04-23 18:42:47",女方公布明州饭局完整视频:三个小时都坐刘强东旁边,https://news.163.com/19/0423/18/EDFH1BLD0001875P.html,#
"燕窝是什么？你的第一反应大概是“一种传统补品”。不过如果你碰巧加了几个微商，你对它的功效可能就更为熟悉。,传说中，燕窝似乎真的很神奇。据说男性吃了能够润肺养胃、益气补脾。女性吃燕窝就更合适了，听说能够美容养颜。对老人小孩也有好处。老人吃了能提高免疫力，降低胆固醇，小孩吃了能增强抵抗力，提高智力。,燕窝被吹得如此神奇，要不是兜里没钱，你可能都想尝试一下了。看着微商朋友的慷慨陈词，你或许也常常产生这样的疑惑：燕窝的神奇功效，是真的吗？,谈到燕窝这种“传统补品”，你或许会想象它是诞生于中国，在数千年历史中沉淀下来的宝贵养生精粹。但事实上，燕窝传入中国至今，也不过只有几百年的历史而已。,燕窝是怎么传入中国的，众说纷纭。有人说来自南洋群岛，有人说是从闽粤沿岸流入中国，也有人说来自和阿拉伯人的贸易。事实究竟如何，谁也说不清楚[1]。不过可以看出来的是，燕窝大概率并非中国原产，而是通过贸易流入中国。,燕窝在中国市场开始普及，也不过就是明清时期的事。也就是说，你在《红楼梦》或者《延禧攻略》中看到燕窝不稀奇，可在《武媚娘传奇》中见到燕窝，对不起，它可能一不小心穿越了。,不过，燕窝打入中国之初，只是一种流行于上流社会宴会中的昂贵食品，和医疗关系不大。只是获得乾隆年间一些名医的推崇之后，才被当作神奇的补药。燕窝越来越流行，甚至成了乾隆御膳的常客。有皇帝亲自带货，燕窝也就从宫里慢慢火到了民间，火遍了食品药品两界[2]。,要证明一个网红产品有多火，光有大V带货不作数，还得看有没有人造假。巧的是，有人在清末民初就做到了。1896年，江湖骗子孙镜湖一拍脑门，发明了一种新式补品“燕窝糖精”。根据内部人士的说法，燕窝糖精主要成分有糖精、萝卜，就是不含燕窝[3]。,孙镜湖不但在发明补品这件事上充满想象力与创造力，在市场营销方面也天赋异禀。发明燕窝精后，他大吹自己的产品“以机器去其毛疵，以化学取其精华”，反正是高科技补品。还找了一群著名文人替产品代言，全方位多角度猛夸。这套路在今天看着也很熟悉[3]。,不过，燕窝市场没有一直在中国繁荣下去。新中国成立之后，中国人对燕窝的消费出现了几十年的断代，只剩香港还有燕窝的市场。改革开放后，燕窝才作为一种“新生事物”被重新接受。,这一次，燕窝没有立即打入富人市场，而是率先进入了接待海外华侨的市场与酒店。在对华侨与港澳华人的模仿中，燕窝重新在大陆红火起来[4]。,同一时期，燕窝的消费方式也在香港悄然改变。在过去，燕窝的功能只是“化痰止嗽”、“壮阳益气”之类。现在说起燕窝，却多了一个美容养颜的说法，这其实是香港的燕窝商创造的。,80年代末90年代初，香港娱乐产业蓬勃发展，部分燕窝商极有商业眼光地赞助了多位明星，以及数届香港小姐选美比赛。比赛创造收视率神话的同时，女明星们也把燕窝商们力推的美容养颜观念，透过电视屏幕带到了普通消费者身边[4]。,燕窝的历史可能不如你想象得那么久远，那么燕窝的功效又如何呢？要弄清楚这个，或许应该先来看看燕窝中有什么成分。,研究显示，燕窝中最主要的营养物质是蛋白质。一项对金丝燕两种燕窝的研究发现，两者的蛋白质在62%到63%之间。另一项类似研究也发现，蛋白质占燕窝比例超过50%。看起来，燕窝确实称得上高蛋白食品[5]。,可是，根据2002版的《中国食物成分表》，100g黄豆里就有35g蛋白质。这样看来，燕窝里的蛋白质虽然多，但也不稀奇[6]。,燕窝在蛋白质的量上优势不大，不过据说燕窝之所以能成为补养名品，是因为它的蛋白都是优质蛋白。那么，燕窝的蛋白质质量，能不能甩出同台竞技的选手几条街呢？,要比较食物中蛋白质是不是优质，先得有个标准。一般来说，要看这种食物的氨基酸组成。,人体有7种必需的氨基酸，一种食物里必需氨基酸的比例越接近人体所需，就可以说蛋白质质量越好。根据世界卫生组织(WHO)和联合国粮农组织(FAO)的标准，一样食物中必需氨基酸要占,总氨基酸40%以上，才能说得上优质[7]。,然而对东南亚进口燕窝的研究发现，燕窝中必需氨基酸的比例才34%左右[8]。还有研究发现，燕窝的氨基酸组成其实和鲶鱼相差不大[9]。甚至鲶鱼肌肉中必需氨基酸占总氨基酸的比例还超过了40%[10]。看来花重金买燕窝，还不如去市场里拎条鲶鱼回家。,不说鲶鱼，就说说你经常吃的猪牛羊鸡鸭鹅。按照食物中必需氨基酸的比例评分，满分100这些肉类的得分基本都在80分以上[7]，而燕窝才40多分[8]。这样看来，燕窝里的蛋白质称不上优质。,又有人说了，燕窝里面的唾液酸，才真正令它身价倍涨，成为进补佳品的秘密。,这神秘兮兮的唾液酸又是什么呢？唾液酸其实是一种人体不可或缺的营养成分，比如说人类在胎儿时期以及婴儿阶段，如果没有充足的唾液酸，智力发展就有可能会受到限制[11][12]。,既然唾液酸如此重要，那么坐拥这种神奇成分的燕窝，想必也有贵的道理了？,并非如此。唾液酸虽然不可或缺，但并不是所有人都需要额外补充。事实是，人类肝脏内就能合成足够的唾液酸[12]。,需要额外补充唾液酸的，主要是婴儿，这可能是因为他们的肝脏尚未发育完全，没法合成足够的唾液酸[13]。不过，也别急着给你的宝宝买燕窝，坚持母乳喂养就行，母乳就中含有丰富的唾液酸[14]。,除了母乳，我们也完全能从日常的食物，比如牛羊肉以及鸡蛋、牛奶中获取唾液酸，不是非燕窝不可。燕窝的唾液酸含量确实很高，但是也只是鸡蛋5倍左右。如果你没富到燕窝随便吃，那还是鸡蛋划算一点[15]。,实在缺乏唾液酸的话，买燕窝也没必要。现在唾液酸人工合成已经成本已经很低，甚至燕窝作假的手段之一就是在假燕窝里加入人工唾液酸，冒充合格燕窝[15]。,说到底，燕窝真不能算是一件神奇的补品，它和我们天天吃的鸡蛋、喝的牛奶这类普通的食品没多大区别。美容养颜、延年益寿是指望不上它的。,你吃的燕窝没什么特殊的营养，这还是建立在你真的吃到燕窝的前提下。大部分时候，你吃的到底是不是真燕窝都得打个问号。,从网上流传的各种鉴别燕窝真伪的方法，就不难看出燕窝造假现象有多普遍。就拿燕窝里最受追捧的血燕来说，2011年东南亚血燕造假的技术就已经到了三代，可千万别再相信血燕是燕子筑巢时吐血染红的这种谎言了。,就算你早已练就七十二般鉴别真假燕窝的本事，躲得过假燕窝，亚硝酸盐也不一定会放过你。,众所周知，亚硝酸盐是一种致癌物质。可本应“延年益寿”的燕窝，却和超标的亚硝酸盐紧紧绑在了一起。早在2011年，浙江省工商局对537个批次血燕抽检就发现，抽检的血燕亚硝酸盐严重超标[16]。,根据2012年中国卫生部的相关规定，生产经营和进口食用燕窝，亚硝酸盐含量应当小于30mg/kg（毫克/千克）。然而，规定出台之后，燕窝里亚硝酸盐该超标还是超标。,2013年，国家食品质量监督检验中心对燕窝罐头、白燕和血燕的亚硝酸盐含量进行了测定，发现绝大部分燕窝罐头的亚硝酸含量在1mg/kg左右，这是一个比较安全的含量。而白燕的亚硝酸盐含量却在13~1000mg/kg的范围内变化[17]。,最可怕的还是受人追捧的血燕，检测的血燕样本亚硝酸盐含量都是1000mg/kg起步，最夸张的达到13000mg/kg[17]。这是个什么概念？2016年一家公司生产的腊肉亚硝酸盐含量48mg/kg，超标0.6倍就上了国家食品药品监督总局通告。就凭突破天际的亚硝酸盐超标量，一份燕窝就可以承包一年的通告。,亚硝酸盐超标，可能是燕窝自身发酵形成的，也可能加工中出了问题。至于血燕的亚硝酸盐超标，很可能是黑心商家人为加进去的。因为弱酸条件下，加入亚硝酸钠可以把白燕染成红色，这样就能当作血燕卖个好价钱[5]。,讽刺的是，经实验检测，白燕与血燕的营养成分并没有显著差异，非要说的话，白燕的营养成分还略微好一点[18]。,当然，燕窝也不是完全不能吃。研究发现经过水浸泡4个小时之后，无论是白燕还是血燕，其中的亚硝酸盐都下降了90%以上。不过剩余的亚硝酸盐含量，还是略高于卫生部制定的标准。要吃燕窝，还是得带着一种冒死吃河豚的心态[5]。,当然，如果燕窝对你来说只是一种身份的象征，那我劝你一句，买来看看就行。吃的话真没必要，万一吃出病就不好了。,[1]关培生, & 江润祥. (1985). 燕窝考,[2]冯立军. (2015). 略论明清时期中国与东南亚的燕窝贸易. ,(2).,[3]张仲民. (2017). 当糖精变为燕窝——孙镜湖与近代上海的医药广告文化. ,(1).,[4]余昕. (2016). 燕窝贸易与“海洋中国”——物的社会生命视野下对“乡土中国”的反思. , ,(1), 18-24.,[5]简叶叶, 李庆旺, 黄知几, 黄灿灿, 郑丽娟, & 傅维擎, et al. (2016). 燕窝的营养功效与真伪鉴别研究进展. , ,(2).,[6]杨月欣, 王光亚, 潘兴昌. (2002). ,.,[7]钱爱萍, 颜孙安, 林香信, & 陈卫伟. (2010). 家禽肉中氨基酸组成及营养评价. , ,(13).,[8]赵斌, 黎小鹏, 刘敬, 王羚郦, 李梗, & 赖小平. (2014). 东南亚进口燕窝中总氮和氨基酸分析. , ,(6), 949-952.,[9]Halimi, N. M. ,  Kasim, Z. M. , &  Babji, A. S. . (2014).  Nutritional Composition and Solubility of Edible Bird Nest (Aerodramus  fuchiphagus). ,. American Institute of Physics.,[10]韩庆, 李丽立, 黄春红, 朱志红, & 王波. (2010). 洞庭湖鲶鱼体表黏液和肌肉营养组成对比分析. , ,(3), 97-101.,[11]Yang,  L., Wang, L., Pan, J., Xiang, L., Yang, M., & Logrieco, A. F.  (2010). Determination of ochratoxin a in traditional chinese medicinal  plants by hplc-fld. , ,(7), 989-997.,[12] Wang, B. , &  Brand-Miller, J. . (2003). The role and potential of sialic acid in human nutrition. , ,(11), 1351-1369.,[13]Karim, & M. (2006). Is sialic acid in milk food for the brain?. , ,(018).,[14]Sprenger, N., & Duncan, P. I. (2012). Sialic acid utilization. , ,(3), 392S.,
,[15]程家丽, 王竹, 刘婷婷, 沈箷, & 杨月欣. (2016). 唾液酸的生物活性及其在乳品中分布. , ,(04), 227-231.,[16]李凤发. (2011). 高档滋补品燕窝造假调查. ,(10).,[17]赵琴, 孙颖宜, 刘丁, 薛峰, & 曹扬. (2013). 燕窝中亚硝酸盐的含量分析与探讨. ,(1), 128-131.,[18]曹妍, 徐杰, 高焱, 王静凤, 李兆杰, & 薛长湖. (2011). 白燕与血燕的营养成分分析和比较. ,(10), 414-417.",网易浪潮工作室,EDG68N8300018M4D,"
            2019-04-24 00:53:49",被中国人吹上天的燕窝，根本没啥用,https://news.163.com/19/0424/00/EDG68N8300018M4D.html,#
"今年年初，当美国金球奖揭晓最佳电视剧情类剧集女主角得奖者后，全场一片喝彩。,她也正是金球奖历史上第一位亚裔视后和第一位亚裔主持人。,这位长着一张典型东方面孔的韩裔女演员，之所以能拿下金秋视后，,吴珊卓作为演员第一次得到广泛认可的作品是《实习医生格蕾》，但是受限于亚裔面孔，她在英美市场中一直没有突破的机会。,《杀死伊芙》讲述了一个英国安全局后勤人员伊芙陷入一桩连环刺杀案后，却意外发现自己才是杀手的终极目标的惊悚故事。,她不顾杀手组织头目的规劝，为和伊芙玩猫和老鼠的追捕游戏而擅自行动，逐渐将两人都带入了危险境地。,她不需刻意表演就能散发出的小人物的焦虑、紧张、恐惧和挣扎，让伊芙这个角色十足饱满可信。,而朱迪·科莫饰演的薇拉内尔，摄魂的欧式大双、矫健的身手、多变的造型和高超的格斗技，帅气指数直逼邻村寡姐和天海御姐，,第一季落幕后，,毕竟一个是神秘莫测的性感女杀手，一个是疲惫生活中循规蹈矩的中年妇女，看上去八杆子打不着的两人却又因为一场又一场凶杀案而日益紧密联结。,更多的是两人你追我躲的独梁戏。,直到第一季尾声，伊芙潜入薇拉内尔在巴黎的秘密公寓，两人才首次同床而卧，直接推动本集收视爆表。,这种温馨时刻持续了不到一分钟，卸下防御的变态杀手薇拉内尔，被伊芙直接用藏在一旁的水果刀捅中腹部，血流如注。,一回头，薇拉内尔已经不见踪影。,后来两个人之间又发生了什么？被剧迷称呼为“小变态”的薇拉内尔真的就负伤离开了吗？,为了等这个答案，剧迷们等了近一年的时间。,令人姬动的是，,这种神一般的操作，简直不给观众一点闲暇思索，仿佛过了一个假期回到学校，直接被要求默写上学期的课文。,两人之间的缠斗相杀很好理解，毕竟一个是专门花式杀人的职业杀手，一个是“曾经以为人生就这样了”还在英国情报局工作的中年妇女。,更不用说在此之前，她还杀死了伊芙敬爱的上司Bill（Kill Bill，这个梗埋得可以）。,一方面，伊芙一心要将薇拉内尔逮捕归案，因为她作恶多端，形影诡秘，不仅严重影响了自己的生活，而且还对自己的身边人下了狠手。,但另一方面，伊芙又因薇拉内尔的偏爱而对生活重燃活力，她也无法遏止自己对一个天才女杀手的好奇，,一边对薇拉内尔的变态杀人大法不知该如何审视，一边是看到她和伊芙互动时流露出的脆弱和敏感还有喜欢不自觉发出姨母笑的理智丧失，恨不得给自己一巴掌说“亲爱的这不是爱情”。,在回归的第二季第一集，伊芙以为被自己捅了一刀的薇拉内尔已经死透透，正准备重新组织起自己被打乱的生活。,不料地下情报组织头头却找上门来，,而且只要她活着,伊芙和伊芙的家人朋友就有危险。,那边厢，薇拉内尔则上演了“医生我觉得我还能抢救一下”，不仅没死，还在医院让邻床遭车祸重伤的小哥帮自己偷到了一身逃跑的行头。,但却不是卸磨杀驴，而是小哥因为车祸严重毁容、双亲尽失，向薇拉内尔哭诉，,逃出医院的薇拉内尔来到边境，躲进一辆英国牌照的汽车后备箱。,伴随着迷幻的摇滚乐，薇拉内尔俊秀的脸庞在一闪而过的灯光照耀下，一明一灭。,久违的悬疑感就像观众的肾上腺素一样骤升。,《杀死伊芙》系列的走红在近年绝不是个例。,从过气女星相爱相杀的《宿敌：贝蒂和琼》到史诗般记录女性成长的《我的天才女友》系列，从荤腥不忌嬉笑怒骂的《破产姐妹》再到聚焦职业女性个体命运的《傲骨之战》……,我们终于看到越来越多的女性角色，不再仅仅是作为推动情节向前的一个道具，而是成为了情节本身。,我们也终于等到越来越多的女性角色不再仅仅满足于成为一个被凝视的客体，不再仅仅以男性的目光来端详自己的女性气质。,
",网易王三三,ECSNAJI80001885B,"
            2019-04-16 11:27:08",豆瓣9.4回归，这部口碑悬疑双女主剧还是这么姬烈,https://news.163.com/19/0416/11/ECSNAJI80001885B.html,#
"
	,
	,
						,
						,
					,疑似刘强东性侵案当晚被警方带走视频曝光，警察进屋3分钟后将其带走。,
,近日有网友在网上爆料：我们从Jingyao那里获得刘强东性侵案餐厅及公寓楼内多个监控摄像的完整视频，并获得授权发布。这是第二条视频，视频显示8月31日凌晨3：20分，几名警察从电梯中走出来，随后停后出现一个房间门口，几分钟后，刘强东双手背在身后，被两名警察带出房间，乘坐电梯离开。这一切也都与jingyao之前的表述是连续和一致的。Jingyao在起诉书中说：当警方从原告的公寓里带走被告刘强东时，被告刘强东明显试图通过瞪原告和愤怒地用普通话对原告说：“搞什么”（意译），来恐吓原告不要配合警察。",三日寸光,EDFLRSMQ0001899O,"
            2019-04-23 20:07:11",刘强东涉性侵当晚被警方带走视频曝光 脚上穿拖鞋,https://news.163.com/19/0423/20/EDFLRSMQ0001899O.html,#
"
                    （原标题：美国检方回应刘强东案：评估案件时，我们看过那两个视频）
                ,“是的，我们看到过（网上所传的两段监控视频）。”美国明尼苏达州亨内平郡检察官办公室媒体协调官Chuck Laszewski如此回答。,针对4月22日，微博账号@明州记事发布的两段刘强东明州晚宴的监控视频，美国明尼苏达州亨内平郡检察官办公室媒体协调官Chuck Laszewski对北青深一度记者表示，网上所传的两段监控视频，他们在评估案件时是看到过的。,在回答记者“你们在评估案件时，看到过这些视频吗？”的问题时，Chuck Laszewski语气肯定，他回答：“是的，我们看到过。”,Chuck Laszewski表示，他们从未对外发布过有关该案的任何视频。在回答记者“这些视频是当时你们决定不起诉的原因之一吗？”的问题时，他表示不能对该案作出任何评论。,在给记者的邮件中，Chuck Laszewski再次强调：“我与我的上司讨论过，我们决定不对这两个视频发布评论。”,4月22日下午，名为@明州事记 的微博账号，发布了两段有关刘强东明州晚宴的监控视频片段。第一段视频的场景是当晚餐厅聚餐的情形。女当事人刘静尧（音译）与刘强东相隔而坐，期间各自与他人交谈，画面文字介绍“女士并未醉酒”。饭后，刘强东与众人起身离开，随后，刘静尧（音）起身离席，画面文字介绍“女士主动跟随离开”。在餐厅另一监控探头中记录，刘静尧曾在餐厅门口给众人开门，刘强东独自走出餐厅，刘静尧“再次主动追上”。,第二段视频显示，刘静尧（音）在公寓大门口刷卡后请刘强东及其助理进入公寓，随后一同进入电梯。在另一电梯门口，刘静尧（音）和刘强东两人进入电梯，助理留在了电梯外。接下来的画面中，两人换乘电梯，且女方挽着刘强东胳膊。视频中文字显示，“女士挽着刘强东走到房间，并主动开门，请其进入”。,22日下午，北京金诚同达律师事务所律师陈曦通过其实名微博发声：本人为刘强东先生的代理律师，经当事人确认，该视频内容属实。,2018年8月，在美国明尼苏达大学就读的刘静尧（音）报警称被刘强东性侵。之后，明尼苏达州的检察官对刘强东强奸指控进行调查经过了4个月左右的调查，2018年12月，美国检方决定不起诉刘强东，并认定其在刑事上无罪。,美国明尼苏达州亨内平县检察院检察官Michael Freeman称，该案存在严重的证据问题，这使得任何刑事指控无法证明超出合理怀疑。“当我们审查监控录像、短信、警察随身摄像机视频和证人陈述时，很明显我们无法达到我们的举证要求。因此我们无法提出指控。因为我们不想让年轻女性再次受害，所以我们不会详细说明。”,然而就在刑事诉讼风波渐平之际，该案民事诉讼又起波澜。美国当地时间4月16日，当事女生刘静尧（音）在明尼阿波利斯的法院对刘强东提起民事诉讼。,在本次诉讼中，刘静尧（音）将刘强东与京东列入被告，寻求至少5万美元的伤害赔偿。这起诉讼指控刘强东和京东共计6项罪名，包括非法拘禁、民事攻击和殴打，以及性侵或殴打。,在起诉书中，刘静尧（音）陈述的内容包括：“在商务社交晚餐上，原告屡次被被告刘强东胁迫饮酒”；“当他们到达原告的公寓大楼，原告、被告刘强东和艾丽斯·张下了车。原告认为自己只是被送到房门口、希望保持礼貌和尊重、不想局势恶化的情况下，原告和被告刘强东以及艾丽斯·张一同进了大楼。被告刘强东用中文指示艾丽斯·张不要跟着”等等。,代表原告的Florin Roebig律师事务所表示，发布在网上的视频片段以及完整的监控视频与其当事人在诉讼中所描述的场景一致，也与她为执法部门提供的证词一致。该女子在诉讼中称，她之所以同意刘强东去她的公寓是出于礼貌和尊重，她认为后者只会陪她走到门口。",北京青年报,EDES0NS60001899N,"
            2019-04-23 12:35:27",美检方回应刘强东案:评估案件时 已看过那两个视频,https://news.163.com/19/0423/12/EDES0NS60001899N.html,http://bjyouth.ynet.com
"
	,
	,
						,
						,
					,网友“声援jingyao“曝光了刘强东明州饭局完整视频后，昨晚又放出第三段视频，称在长达3小时的饭局里，女方被劝酒19次。,目前，该视频尚未获得有关方面证实。,
",摇光,EDGR7LVQ0001899N,"
            2019-04-24 07:00:15",疑似刘强东案饭局新视频:3小时饭局女生被劝酒19次,https://news.163.com/19/0424/07/EDGR7LVQ0001899N.html,#
"
                    （原标题：刘强东“性侵案”上演视频战，明尼苏达警方：难辨真伪，我们没看过）
                ,
	,
	,
						,
						,
					,【环球网报道】刘强东“性侵”案进入到当事双方在微博上互发有利于自己视频来争夺公众同情的阶段了吗?继昨日两段暗示是女方主动邀请刘强东进入其房间的视频在网上传播后，今天又有有利于女当事人的视频在网上传播。稍早前，环球网记者联系了明尼苏达州明尼亚波利斯警察局，警察局媒体发言人艾尔德(John 
Elder)表示，“就此案件，明尼亚波利斯市和明尼亚波利斯警察局均未发布任何摄影及录像证据。我们无法作出声明来证实这些视频的有效性和真实性，因为我们还没有看到它们。”,22日，微博上突然爆出两段疑似刘强东涉嫌性侵案当晚的监控视频。发布视频的微博是个注册不久的小号，微博ID为@明州事记，注册日期为2019年1月31日。迄今为止，“明州事记”只发布过两段视频，分别于22日14时57分和15时07分发布。第一段视频拍摄于饭局上，视频中的字幕显示女生并未醉酒。不仅如此，女生还在刘强东离席后主动跟随。第二段视频拍摄于公寓内，女生带领刘强东回到公寓，并且疑似邀请刘强东进入房间内。最终，刘强东走入了房间。,(新浪微博账号“明州事记”微博截图),两段视频发出后不久，一个微博ID为JTN陈曦律师于16时31分发文称，“本人为刘强东先生的代理律师，经当事人确认，该视频内容属实。”,(新浪微博账号“JTN陈曦律师”微博截图),23日，刘强东案又曝出两段新的监控录像。,今天下午6点左右，新浪微博账号“陈纯Camus”，自称得到了“刘强东性侵案”事件中女方授权的完整视频。他在微博中写道，“我们从Jingyao那里获得完整视频和发布的授权，从中可以证明，Jingyao在起诉书中所言是完全真实的。视频下面有时间，可以看出整个饭局三个小时jingyao都是坐在刘强东旁边，最后几分钟起身，后来原座位已经有人了，她坐到了其他座位。“明州事记”发布的视频有误导公众之嫌。”,(新浪微博账号“陈纯Camus”微博截图),这段监控录像显示，刘强东在晚宴的前三个小时里，是和那名女子挨着坐的，并且双方有交流。而在昨天，微博账号“明州事记”公布的两段视频监控录像中，第一段监控也是来自于晚宴，但是昨天的那段监控显示，刘强东没有和那名女子坐在一起：据此，新浪微博账号“陈纯Camus”认为，昨天的那段视频，“有故意误导公众”的嫌疑。,紧接着，也是在今天，另一段监控录像也被曝光，内容是刘强东被两名美国警察带出公寓，全程背铐。22日爆出的视频来自公寓的监控录像，内容是刘强东如何进入公寓。而今天出现的一幕，则是刘强东如何走出公寓。,(刘强东被捕视频截图),真相究竟怎样还不得而知，是洗白还是反转，可能要等警方进一步的消息出来后才能做定论了。,南都记者收到匿名邮件称，有刘强东代理律师与女方当事人的谈判录音。根据录音内容，对话的双方是两名女性，一名女性自我介绍称是Caplan&Tamburino律师事务所的律师Jill Brisbois，另一名女性并未提供个人信息，（下称“2号女性”）在对话中向对方确认其委托人的姓名是“LIUQIANGDONG”。“你可以告诉他，他可以给我一笔钱，我还需要他的道歉， 否则我就会去法院提起诉讼。”2号女性向自称是Jill Brisbois的律师表示，自己不希望上法庭。",环球网,EDG3QIGI0001899N,"
            2019-04-24 00:11:08",刘强东案上演视频战 美警方:难辨真伪 我们没看过,https://news.163.com/19/0424/00/EDG3QIGI0001899N.html,http://world.huanqiu.com/exclusive/2019-04/14777912.html?agt=363
"#复联4首映#【好惨！魔都现沙雕电影院 影迷：影片是糊的，片头看了三遍……】4月23日23时15分，记者抵达上海杨浦一家影院，并没有想象中的人山人海，看到还有人带了半只西瓜来的。,在上海国际影城东川路店，一楼因为只开了一部电梯，加上观众众多，连电梯都需排队等候。取票处也同样排长队。因为毗邻华师大交大两所高校，来观看影片的观众多为年轻人，且年轻男性居多。,在莘庄仲盛CGV现场，人气有点，秩序井然，情侣和90后男观众主流，但其实女孩子结伴来也不少。,不过，,
",新闻晨报,EDGB4H710001899N,"
            2019-04-24 02:18:54",影迷熬夜等复联4却遇奇葩影院:影片糊 片头看了3遍,https://news.163.com/19/0424/02/EDGB4H710001899N.html,#
"
                    （原标题：习近平检阅中国人民解放军海军仪仗队）
                ,
	,
	,
						,
						,
					,23日下午，中共中央总书记、国家主席、中央军委主席习近平将出席庆祝人民海军成立70周年海上阅兵活动。今天中午，习近平来到青岛奥帆中心码头，检阅了中国人民解放军海军仪仗队，随后登上“西宁”号检阅舰。",央视新闻,EDETDPB90001899O,"
            2019-04-23 13:00:03",习近平检阅中国人民解放军海军仪仗队,https://news.163.com/19/0423/13/EDETDPB90001899O.html,http://m.news.cctv.com/2019/04/23/ARTI7649BNkLAQon6M7JYXKO190423.shtml
