aqi,area,pm2_5,pm2_5_24h,position_name,primary_pollutant,quality,station_code,time_point
20,上海,14,14,十五厂,,优,1142A,2017-07-29T14:00:00Z
29,上海,20,17,静安监测站,,优,1147A,2017-07-29T14:00:00Z
29,上海,20,11,浦东新区监测站,,优,1149A,2017-07-29T14:00:00Z
30,上海,19,16,徐汇上师大,,优,1144A,2017-07-29T14:00:00Z
34,上海,19,15,,,优,,2017-07-29T14:00:00Z
35,上海,24,20,浦东张江,,优,1150A,2017-07-29T14:00:00Z
36,上海,20,19,青浦淀山湖,,优,1146A,2017-07-29T14:00:00Z
36,上海,17,14,普陀,,优,1141A,2017-07-29T14:00:00Z
42,上海,15,18,杨浦四漂,,优,1145A,2017-07-29T14:00:00Z
46,上海,32,7,虹口,,优,1143A,2017-07-29T14:00:00Z
51,上海,17,16,浦东川沙,颗粒物(PM10),良,1148A,2017-07-29T14:00:00Z
