City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,42,7,13,0.7,6,70,83,5
阿克苏地区,78,26,104,0.5,19,114,113,5
阿拉善盟,87,25,51,0.53,12,137,143,10
阿勒泰地区,41,8,23,0.4,6,72,80,2
阿里地区,84,4,15,0.4,12,152,139,4
安康,56,20,59,1.17,38,107,105,11
安庆,36,23,35,0.6,13,72,66,23
鞍山,39,7,19,0.86,28,59,77,11
安顺,70,20,38,0.57,11,119,122,8
安阳,123,39,95,1.02,31,137,184,17
白城,35,11,34,0.45,23,52,67,8
百色,59,18,65,1.05,20,65,72,12
白山,45,19,34,0.65,13,66,88,2
白银,63,20,74,0.65,23,89,112,9
保定,75,19,47,0.32,42,111,128,17
宝鸡,66,23,71,0.67,33,107,118,5
保山,49,8,41,1.3,11,84,97,5
包头,50,14,42,0.73,49,81,98,16
巴彦淖尔,69,16,60,0.37,21,120,121,9
巴中,57,23,61,0.95,47,55,88,5
北海,30,7,29,0.83,18,41,58,7
北京,44,10,39,0.36,39,68,87,2
蚌埠,65,15,39,0.65,27,104,116,19
本溪,37,11,36,0.7,41,30,71,7
毕节,78,20,46,0.75,24,107,132,8
滨州,89,22,47,0.97,16,100,145,6
博州,76,12,99,0.55,21,91,120,4
亳州,82,17,50,0.8,25,104,137,15
沧州,86,38,75,0.37,31,123,142,23
长春,32,10,31,0.82,41,36,62,8
常德,74,32,48,1.02,8,114,127,10
昌都,58,16,64,0.6,19,74,94,7
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,106,28,63,0.97,20,176,165,16
长沙,57,36,62,0.83,32,74,96,10
常熟,38,10,26,0.73,29,88,74,17
长治,100,24,64,1.24,32,142,159,12
常州,32,20,31,0.78,37,50,53,13
朝阳,50,9,49,0.6,27,51,82,9
潮州,75,31,60,1.2,23,70,128,13
承德,40,12,39,0.7,43,23,70,6
成都,91,16,35,0.43,28,136,147,9
郴州,90,33,58,1.36,15,151,146,6
赤峰,34,10,33,1.13,46,31,64,10
池州,52,23,52,0.73,21,62,56,19
重庆,58,19,41,0.72,38,112,108,7
崇左,44,21,37,0.95,13,62,87,8
楚雄州,52,12,33,0.75,14,101,101,15
滁州,49,24,38,0.73,43,68,97,7
大连,73,7,21,0.67,27,82,126,10
大理州,46,12,35,0.75,32,66,91,9
